ID,lon,lat,qmean7913,q79,q80,q81,q82,q83,q84,q85,q86,q87,q88,q89,q90,q91,q92,q93,q94,q95,q96,q97,q98,q99,q00,q01,q02,q03,q04,q05,q06,q07,q08,q09,q10,q11,q12,q13,CC_Area_km2,Shape_Length,DL_km,Q_m2_yr,Q_A_norm_m_yr
5083,-152.1813657,58.23442426,3218242.937,3343743.235,3709960.264,3088047.037,3194182.757,3209389.343,2799508.181,2929366.947,3825359.401,3216272.051,2508378.654,3191612.539,3053781.803,3000779.918,2561609.989,3658943.094,3343191.327,2801929.246,2808017.829,3336451.243,2563788.354,3000860.367,3620323.276,3153362.812,3648060.628,3312433.762,3063387.274,3065027.976,3268811.649,3899426.868,3100753.635,4562167.493,2496370.19,2846344.472,3495122.982,3961736.2,2,3000,1000,1072.747646,1.072747646
5086,-151.7888302,58.22817977,3766777.732,3870269.292,4371970.656,3699261.579,3463278.46,3813859.468,3457221.235,3459679.963,4064092.371,3721538.147,3136105.542,3835121.188,3569553.168,3735436.766,3000724.145,3847004.847,4058232.236,3010082.351,3076495.186,3964693.748,3242125.66,3446009.013,4060607.454,3432155.402,4066559.025,3669843.392,3540800.116,4000745.735,3738119.677,4502892.961,3738951.65,4652457.275,3288232.104,3680289.978,4377056.845,5245754,2,1000,3000,3766.777732,1.255592577
5117,-152.180898,58.24337078,2247511.609,2324865.724,2585009.623,2181127.346,2239862.569,2222631.994,1957131.029,2037323.344,2692724.768,2227518.881,1764365.41,2228806.999,2136865.353,2096288.265,1808362.271,2575610.281,2335917.644,1969076.181,1957106.257,2331740.631,1800572.706,2085011.951,2516148.896,2183710.395,2532196.436,2306697.774,2128410.971,2127487.622,2293343.31,2712169.953,2180052.709,3177600.21,1748081.055,1997344.662,2443737.895,2758005.2,1,5000,400,449.5023218,1.123755805
5118,-152.0955305,58.24211643,3268754.369,3408191.595,3785212.172,3137541.047,3227095.886,3257958.888,2852501.62,2975704.125,3881618.766,3270346.23,2562341.813,3237175.81,3096179.692,3042613.121,2625152.324,3700891.943,3388968.422,2830429.134,2840774.324,3398358.836,2647886.677,3085330.064,3686496.831,3173946.185,3694661.385,3384392.84,3101043.33,3125996.726,3290875.048,3963832.495,3150458.644,4574753.095,2565054.972,2859317.734,3537023.641,4046277.5,11,5000,2400,653.7508738,0.272396197
5153,-152.3166325,58.26315195,11287933.22,11826209.64,12933550.84,10541936.28,11701583.92,11096763.01,10012625.76,10167930.98,13770280.61,11198762.41,8599511.847,11148774.56,10591928.12,10528827.79,9160697.232,13313741,11760392.47,10003691.78,9795474.945,12047194.22,8967660.872,10334322.67,12546840.32,11053667.69,12924565.24,11731011.9,10742108.3,10713063.52,11771094.41,13406780.63,10671937.75,15855295.55,8811991.117,10422764.52,12266384.77,12658296,10,5000,2200,2257.586644,1.026175747
5154,-152.2653793,58.2624611,2624167.045,2689401.991,3036486.449,2414371.684,2654971.337,2653182.505,2484955.532,2443524.469,2998920.955,2557332.918,2154790.193,2720768.771,2451710.966,2682380.038,2128619.178,2848535.812,2829301.197,2210640.31,2101278.288,2935152.219,2209998.686,2335365.697,2840025.609,2397485.085,2966755.244,2676746.012,2543809.645,2772666.298,2589077.977,3060600.678,2477501.939,3310530.096,2230029.088,2443638.076,2867129.818,3128161.8,1,7000,286,374.8810064,1.312083522
5155,-152.1975087,58.25256128,4128708.895,4299371.538,4785155.249,3888498.127,4114662.963,4119613.898,3617277.935,3726810.852,4912117.229,4151841.459,3215082.039,4059006.448,3905292.08,3842929.334,3302424.802,4745027.874,4262054.174,3579694.935,3614334.214,4342438.841,3278539.225,3864644.266,4669182.223,4049402.449,4691542.5,4254953.184,3966629.757,3947842.299,4176510.98,4999652.341,3953008.574,5802339.664,3211191.496,3647402.703,4482866.687,5025469,3,5000,800,825.7417791,1.032177224
5156,-152.0950407,58.25106258,2053031.836,2149046.545,2382035.686,1941876.701,2027391.148,2060184.219,1801276.557,1843696.784,2427980.718,2081083.726,1608334.678,2008058.441,1951447.433,1913404.684,1652480.943,2335273.673,2100454.59,1782425.594,1793602.476,2153774.962,1632860.142,1944056.591,2325547.216,2010806.147,2329409.359,2125143.542,1973354.918,1948932.176,2074628.634,2489393.793,1959734.962,2883166.415,1607943.925,1786983.05,2223387.33,2526936.5,1,8000,250,256.6289795,1.026515918
5158,-151.7706207,58.2457704,2587891.452,2652709.312,2990418.702,2531511.869,2367613.624,2619202.447,2362855.462,2374513.216,2789460.9,2569156.635,2149653.601,2622301.225,2442520.449,2557650.941,2059863.832,2647517.307,2790335.94,2054643.251,2107756.682,2728523.366,2226163.697,2365983.725,2790065.604,2362223.761,2797646.948,2515257.726,2442273.301,2759223.343,2563198.493,3070999.211,2570169.467,3195254.362,2288386.381,2529627.523,3013035.711,3668482.8,1,3000,667,862.630484,1.293945726
5198,-152.2820215,58.27164039,2057285.859,2180627.983,2384615.056,1878907.581,2122668.46,2062841.431,1827725.457,1829237.167,2485835.175,2062960.532,1552296.204,1998015.944,1943649.148,1931288.076,1647775.506,2414838.138,2130184.61,1818434.966,1791462.724,2196928.976,1609060.044,1909763.007,2317012.639,2040959.715,2374154.366,2124456.718,1988455.187,1948002.716,2104880.709,2449304.255,1929882.069,2909501.056,1593389.513,1875206.314,2238513.124,2332170.5,2,7000,429,293.8979799,0.685761953
5199,-152.1970449,58.26150775,4346546.293,4540088.85,4993893.487,4130031.202,4356423.996,4311183.255,3804678.225,3903820.504,5220675.232,4370756.325,3354599.576,4283540.396,4092762.371,4033482.705,3506629.647,5019535.429,4478093.076,3775560.545,3761313.623,4597925.062,3477135.061,4079675.637,4881429.47,4255563.966,4929089.713,4466506.27,4187381.859,4144269.123,4414691.773,5241802.586,4154585.05,6110337.688,3397802.727,3944593.271,4773977.069,5135285.5,3,3000,1333,1448.848764,1.086636573
5201,-152.077469,58.25975077,2170431.041,2263256.76,2503311.464,2074614.309,2146659.945,2157305.676,1882259.595,1964694.587,2582176.257,2185706.823,1693663.06,2124430.739,2081383.465,2009078.682,1742690.927,2466016.51,2217777.356,1896390.834,1879773.814,2273863.095,1746155.059,2054465.994,2451389.135,2128544.222,2455900.707,2224297.785,2072616.644,2041276.171,2223030.047,2630074.317,2095162.15,3053974.308,1696446.182,1921087.77,2371526.032,2654086,2,5000,600,434.0862081,0.723477014
5204,-151.8383554,58.2558986,2027137.13,2114106.578,2350492.249,1967555.538,1888219.739,2034812.675,1734388.892,1810604.334,2345859.566,2090002.625,1581747.203,1965474.978,1923454.422,1854515.178,1590457.665,2253860.029,2026896.058,1691689.52,1760132.649,2086326.452,1605851.266,1937700.846,2326324.033,1974691.315,2281592.17,2044034.381,1956822.195,1925813.331,2024024.434,2496986.979,1981421.853,2830214.916,1623689.602,1819132.009,2331768.859,2719135,1,2000,1000,1013.568565,1.013568565
5217,-133.6279225,56.5705982,10237954.97,9618952.077,10446800.88,9592002.808,7801836.513,8096518.969,10162718.07,8150877.323,9670236.189,11439578.84,9385029.8,9565149.366,10242452.83,12760105.54,9803394.13,9526229.222,8911386.933,8325453.974,8532810.838,8163164.338,10506964.54,10870749.62,10229178.81,9793578.711,8868015.484,10613467.01,9908851.358,10556081.37,12711252.37,10600678.45,10070904.29,9911420.079,11195516.11,16243720.34,12797476.68,13255870,7,6000,1333,1706.325828,1.279744371
5225,-132.3822748,56.33629484,27129221.2,26871194.48,29164050.57,24939650.32,21811591.2,23360589.02,29174352.17,23702476.08,28251566.9,32640977.31,23663297.15,27126103.09,28833623.84,34791013.87,26719821.78,26567849.96,22631443.79,23642677.32,23735857.98,22752576.58,27998463.88,30980720.78,28144273.31,27340200.24,24068362.5,29130670.8,28200561.01,28844462.44,34268928.19,29101927.15,26545594.94,25987222.94,24926385.76,30354172.23,24952016.42,28298066,12,3000,4333,9043.073734,2.086863169
5233,-154.2993737,58.27397055,2183309.671,2426843.668,2329286.569,1766559.123,2198629.158,1953063.045,1871330.326,1894346.113,2509950.085,2391234.18,1658372.746,2279929.531,2173641.693,2015794.988,1734669.437,2615878.585,2263641.328,1635741.852,1573426.234,2296920.874,1917327.051,1966404.309,2550262.174,2197687.664,2578663.794,2168098.411,2030006.739,2131829.384,2187837.368,2437260.547,2090843.419,2375494.908,1835158.174,2606149.768,2336575.45,3416979.8,1,4000,500,545.8274178,1.091654836
5234,-154.2822783,58.27400974,12193880.78,13549707.47,13051912.46,10054768.6,12433753.11,10802158.19,10517042.74,10911439.81,14079365.34,13208115.83,9410582.4,12951180.53,12281038.98,11296561.99,9702919.607,14726806.9,12783705.32,9047384.622,8628521.656,12977940.16,10783793.46,10909874.55,14038890.11,12032713.69,14361989.85,12023763.79,11251705.2,11858194.6,12066623.51,13352989.44,11553538.69,13234076.4,10293350.99,14344459.42,13152988.02,19111970,9,3000,3333,4064.626928,1.219388078
